,City,Country,Date,Lat,Long,Max Temp,Min Temp,Humidity,Wind Speed,Cloudiness
0,portland,US,1562359262.0,43.66,-70.25,91.99,75.0,48.0,13.87,75.0
1,mataura,NZ,1562359263.0,-46.19,168.86,44.01,44.01,91.0,1.01,60.0
2,mahebourg,MU,1562359264.0,-20.41,57.7,71.6,66.99,68.0,6.93,40.0
3,iqaluit,CA,1562359265.0,63.75,-68.52,41.0,41.0,100.0,10.29,90.0
4,hermanus,ZA,1562359266.0,-34.42,19.24,52.0,52.0,91.0,4.0,15.0
5,rikitea,PF,1562359267.0,-23.12,-134.97,68.45,68.45,70.0,26.02,100.0
6,albany,US,1562359017.0,42.65,-73.75,91.4,82.0,31.0,6.93,20.0
7,khokholskiy,,,,,,,,,
8,punta arenas,CL,1562359270.0,-53.16,-70.91,42.8,41.0,70.0,21.92,20.0
9,yerbogachen,RU,1562359271.0,61.28,108.01,59.27,59.27,95.0,5.68,96.0
10,hilo,US,1562359272.0,19.71,-155.08,84.2,78.01,62.0,9.17,1.0
11,thunder bay,CA,1562359273.0,48.41,-89.26,84.0,82.4,39.0,8.05,75.0
12,jamestown,AU,1562359274.0,-33.21,138.6,55.31,55.31,69.0,14.41,19.0
13,broome,GB,1562359275.0,52.47,1.45,69.8,62.01,77.0,6.93,20.0
14,hobyo,SO,1562359276.0,5.35,48.53,79.79,79.79,68.0,26.37,86.0
15,port alfred,ZA,1562359277.0,-33.59,26.89,51.01,51.01,84.0,3.0,0.0
16,chuy,UY,1562359177.0,-33.69,-53.46,47.39,47.39,71.0,21.41,59.0
17,grand river south east,,,,,,,,,
18,atuona,PF,1562359280.0,-9.8,-139.03,81.23,81.23,79.0,19.73,11.0
19,codrington,AU,1562359281.0,-28.95,153.24,62.6,57.2,93.0,5.82,75.0
20,taolanaro,,,,,,,,,
21,shingu,JP,1562359283.0,33.72,135.99,65.21,65.21,98.0,3.33,100.0
22,puerto ayora,EC,1562359284.0,-0.74,-90.35,78.8,73.0,65.0,19.46,20.0
23,lebu,ET,1562359285.0,8.96,38.73,59.0,59.0,93.0,6.93,75.0
24,dahuk,,,,,,,,,
25,ushuaia,AR,1562359287.0,-54.81,-68.31,39.2,39.2,98.0,8.05,75.0
26,cape town,ZA,1562359139.0,-33.93,18.42,57.99,52.0,93.0,10.29,75.0
27,djambala,CG,1562359396.0,-2.55,14.76,75.11,75.11,68.0,3.24,88.0
28,gravdal,NO,1562359397.0,59.79,5.78,52.0,50.0,81.0,9.17,75.0
29,dikson,RU,1562359398.0,73.51,80.55,37.13,37.13,83.0,14.9,0.0
30,nikolskoye,RU,1562359399.0,59.7,30.79,52.0,50.0,93.0,4.47,40.0
31,gorno-altaysk,RU,1562359400.0,51.96,85.96,57.65,57.65,78.0,6.04,8.0
32,falmouth,GB,1562359401.0,50.16,-5.07,64.4,57.99,63.0,6.93,20.0
33,faanui,PF,1562359403.0,-16.48,-151.75,76.91,76.91,78.0,25.26,30.0
34,coquimbo,CL,1562359404.0,-29.95,-71.34,77.0,51.8,87.0,8.05,75.0
35,sur,OM,1562359405.0,22.57,59.53,86.45,86.45,54.0,9.35,4.0
36,bredasdorp,ZA,1562359406.0,-34.53,20.04,48.2,48.2,87.0,8.05,0.0
37,katsuura,JP,1562359407.0,33.93,134.5,73.4,71.01,83.0,6.93,75.0
38,sinazongwe,ZM,1562359408.0,-17.26,27.46,60.89,60.89,55.0,4.9,0.0
39,hithadhoo,MV,1562359408.0,-0.6,73.08,83.39,83.39,79.0,12.55,10.0
40,busselton,AU,1562359409.0,-33.64,115.35,44.01,42.01,80.0,18.86,100.0
41,rudolstadt,DE,1562359411.0,50.72,11.34,68.0,52.0,49.0,6.93,0.0
42,malanje,AO,1562359411.0,-9.54,16.35,65.75,65.75,36.0,1.99,0.0
43,raudeberg,NO,1562359415.0,61.99,5.14,55.4,48.0,62.0,4.7,75.0
44,fairbanks,US,1562359404.0,64.84,-147.72,75.0,71.01,49.0,8.05,1.0
45,muroto,JP,1562359417.0,33.37,134.14,69.35,69.35,96.0,3.4,100.0
46,belushya guba,,,,,,,,,
47,barcelos,BR,1562359419.0,-0.97,-62.93,86.09,86.09,69.0,3.02,1.0
48,batagay-alyta,RU,1562359424.0,67.8,130.41,45.05,45.05,74.0,6.49,100.0
49,illoqqortoormiut,,,,,,,,,
50,crab hill,,,,,,,,,
51,alenquer,BR,1562359430.0,-1.95,-54.74,87.8,87.8,66.0,10.29,20.0
52,marcona,,,,,,,,,
53,bluff,AU,1562359431.0,-23.58,149.07,59.81,59.81,86.0,22.15,100.0
54,rudnogorsk,RU,1562359432.0,57.27,103.75,56.39,56.39,56.0,3.04,100.0
55,ulaanbaatar,MN,1562359433.0,47.92,106.92,42.8,42.8,87.0,4.47,0.0
56,bhabua,IN,1562359434.0,25.04,83.61,89.33,89.33,55.0,6.69,38.0
57,yamada,JP,1562359435.0,36.58,137.08,73.0,71.01,83.0,11.41,75.0
58,hobart,AU,1562359436.0,-42.88,147.33,39.99,35.01,93.0,2.24,20.0
59,tumannyy,,,,,,,,,
60,muravlenko,RU,1562359438.0,63.79,74.5,63.23,63.23,89.0,4.12,81.0
61,half moon bay,US,1562359439.0,37.46,-122.43,82.0,57.99,56.0,16.11,20.0
62,coihaique,CL,1562359440.0,-45.58,-72.07,46.4,42.8,75.0,11.41,90.0
63,karasburg,NA,1562359441.0,-28.01,18.75,51.89,51.89,24.0,9.33,0.0
64,ahipara,NZ,1562359442.0,-35.17,173.16,56.75,56.75,68.0,18.32,0.0
65,butaritari,KI,1562359446.0,3.07,172.79,83.93,83.93,71.0,6.44,0.0
66,kapaa,US,1562359447.0,22.08,-159.32,82.4,82.0,74.0,4.7,40.0
67,carnarvon,ZA,1562359448.0,-30.97,22.13,45.05,45.05,42.0,4.03,0.0
68,san patricio,PY,1562359449.0,-26.98,-56.83,45.23,45.23,63.0,5.44,0.0
69,tubruq,,,,,,,,,
70,pevek,RU,1562359451.0,69.7,170.27,45.59,45.59,68.0,22.44,0.0
71,orlik,PL,1562359452.0,53.95,17.74,53.6,46.0,71.0,6.93,0.0
72,salinopolis,BR,1562359453.0,-0.61,-47.36,81.95,81.95,80.0,18.34,0.0
73,georgetown,GY,1562359235.0,6.8,-58.16,78.8,75.2,94.0,11.41,90.0
74,geraldton,CA,1562359455.0,49.72,-86.95,77.0,77.0,38.0,13.87,75.0
75,ketchikan,US,1562359456.0,55.34,-131.65,80.6,80.6,47.0,6.93,1.0
76,vestmannaeyjar,IS,1562359457.0,63.44,-20.27,55.31,55.31,70.0,4.34,0.0
77,scottsbluff,US,1562359458.0,41.87,-103.67,80.6,80.01,37.0,11.41,75.0
78,surt,LY,1562359459.0,31.21,16.59,77.63,77.63,82.0,7.83,0.0
79,buriti alegre,BR,1562359460.0,-18.14,-49.04,69.17,69.17,76.0,13.82,87.0
80,chechen-aul,RU,1562359461.0,43.2,45.79,69.8,69.8,88.0,8.95,40.0
81,shache,CN,1562359462.0,38.42,77.24,79.79,79.79,24.0,5.57,0.0
82,saldanha,PT,1562359463.0,41.42,-6.55,68.81,68.81,61.0,7.38,0.0
83,sentyabrskiy,,,,,,,,,
84,bumiayu,ID,1562359465.0,-8.01,112.64,64.67,64.67,96.0,0.85,100.0
85,porto torres,IT,1562359475.0,40.84,8.4,78.8,78.8,83.0,3.36,0.0
86,nueve de julio,AR,1562359476.0,-31.67,-68.39,51.71,51.71,42.0,7.11,0.0
87,muros,ES,1562359477.0,42.77,-9.06,66.0,62.01,77.0,6.44,75.0
88,clyde river,CA,1562359479.0,70.47,-68.59,37.4,37.4,93.0,8.05,75.0
89,komsomolskiy,RU,1562359480.0,67.55,63.78,62.51,62.51,61.0,11.56,94.0
90,saint-augustin,CA,1562359481.0,45.63,-73.98,84.99,78.01,66.0,10.29,90.0
91,tuktoyaktuk,CA,1562359482.0,69.44,-133.03,64.4,64.4,72.0,10.29,75.0
92,vaini,IN,1562359483.0,15.34,74.49,77.45,77.45,88.0,8.14,100.0
93,masuda,JP,1562359484.0,34.68,131.85,73.99,73.4,83.0,5.82,75.0
94,barrow,AR,1562359485.0,-38.31,-60.23,37.67,37.67,61.0,4.21,0.0
95,sydney,AU,1562359340.0,-33.85,151.22,54.0,46.0,100.0,8.05,75.0
96,kamen-rybolov,RU,1562359486.0,44.75,132.04,60.17,60.17,91.0,13.15,99.0
97,souillac,FR,1562359487.0,45.6,-0.6,82.4,73.0,39.0,6.93,0.0
98,zima,RU,1562359488.0,53.93,102.05,56.03,56.03,66.0,1.39,100.0
99,nouadhibou,MR,1562359489.0,20.93,-17.03,68.0,68.0,77.0,25.28,0.0
100,qaanaaq,GL,1562359490.0,77.48,-69.36,43.07,43.07,57.0,3.49,22.0
101,yining,CN,1562359491.0,29.04,114.56,70.43,70.43,97.0,1.21,18.0
102,nam tha,,,,,,,,,
103,hasaki,JP,1562359493.0,35.73,140.83,68.0,66.0,94.0,9.17,75.0
104,mocuba,MZ,1562359494.0,-16.84,36.99,59.81,59.81,94.0,1.41,0.0
105,shaunavon,CA,1562359495.0,49.65,-108.41,67.73,67.73,62.0,10.83,52.0
106,bolshoye polpino,,,,,,,,,
107,houma,CN,1562359500.0,35.63,111.36,69.53,69.53,43.0,10.22,0.0
108,bengkulu,,,,,,,,,
109,kuche,,,,,,,,,
110,lagoa,PT,1562359506.0,37.14,-8.45,68.0,66.2,88.0,13.87,0.0
111,leningradskiy,RU,1562359507.0,69.38,178.42,57.11,57.11,60.0,10.25,94.0
112,goderich,CA,1562359511.0,43.74,-81.71,89.01,81.0,59.0,8.99,86.0
113,korla,,,,,,,,,
114,nishihara,JP,1562359516.0,35.74,139.53,70.0,64.99,88.0,3.36,75.0
115,havre-saint-pierre,CA,1562359517.0,50.23,-63.6,64.4,64.4,68.0,6.93,1.0
116,tecpan,GT,1562359518.0,14.76,-90.99,78.8,72.0,39.0,13.87,20.0
117,tessalit,ML,1562359519.0,20.2,1.01,95.81,95.81,23.0,11.61,47.0
118,la canada,HN,1562359520.0,14.05,-87.19,95.0,82.0,39.0,13.87,40.0
119,novobirilyussy,RU,1562359524.0,56.95,90.69,57.47,57.47,98.0,5.48,63.0
120,dhidhdhoo,MV,1562359525.0,6.88,73.1,83.75,83.75,77.0,13.29,100.0
121,cherskiy,RU,1562359526.0,68.75,161.3,59.09,59.09,78.0,6.38,91.0
122,gornopravdinsk,RU,1562359527.0,60.06,69.92,55.85,55.85,66.0,7.05,0.0
123,najran,SA,1562359528.0,17.54,44.22,89.6,89.6,13.0,4.7,0.0
124,saskylakh,RU,1562359529.0,71.97,114.09,40.01,40.01,83.0,10.63,100.0
125,pangody,RU,1562359533.0,65.85,74.49,61.07,61.07,50.0,21.68,4.0
126,kloulklubed,PW,1562359534.0,7.04,134.26,77.0,77.0,94.0,4.7,75.0
127,achisay,,,,,,,,,
128,bethel,US,1562359536.0,60.79,-161.76,73.4,69.8,73.0,12.75,40.0
129,ostrovnoy,RU,1562359537.0,68.05,39.51,46.13,46.13,99.0,7.65,100.0
130,east london,ZA,1562359454.0,-33.02,27.91,48.83,48.83,72.0,7.76,0.0
131,adrar,DZ,1562359542.0,27.87,-0.29,104.0,104.0,10.0,6.93,0.0
132,port elizabeth,US,1562359506.0,39.31,-74.98,89.01,75.99,83.0,10.29,75.0
133,belmonte,PT,1562359484.0,40.36,-7.35,72.0,72.0,34.0,4.5,0.0
134,sisimiut,GL,1562359526.0,66.94,-53.67,41.99,41.99,79.0,10.4,100.0
135,dharchula,IN,1562359546.0,29.85,80.53,56.75,56.75,88.0,4.83,100.0
136,avarua,CK,1562359535.0,-21.21,-159.78,66.2,66.2,88.0,29.97,45.0
137,san andres,PH,1562359548.0,13.32,122.68,76.37,76.37,88.0,1.74,100.0
138,carutapera,BR,1562359549.0,-1.2,-46.02,79.61,79.61,81.0,7.72,0.0
139,tashtagol,RU,1562359550.0,52.76,87.85,55.13,55.13,96.0,3.94,25.0
140,oranjemund,ZA,1562359551.0,-28.55,16.43,55.85,55.85,92.0,15.37,0.0
141,kingsville,US,1562359552.0,27.52,-97.86,100.4,87.01,63.0,18.34,75.0
